,Tournament,League,Link,DateTime UTC,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Team,ID,Nationality,Country,Birthdate,Region,Short
1648,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1649,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1650,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1651,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1652,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1653,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1654,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1655,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1656,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1657,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1658,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1659,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1660,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1661,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1662,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1663,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1664,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1665,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1666,IWCI 2015,2015 IWCI,micaO,2015-04-24 17:00:00,36:58,INTZ,Hard Random,3,1,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1667,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1668,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1669,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1670,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1671,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1672,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1673,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1674,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1675,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1676,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1677,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1678,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1679,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1680,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1681,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1682,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1683,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1684,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1685,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1686,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1687,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1688,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1689,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1690,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1691,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1692,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1693,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1694,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1695,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1696,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1697,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1698,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1699,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1700,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1701,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1702,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1703,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1704,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Thominhas,,,,Brazil,ITZ
1705,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1706,IWCI 2015,2015 IWCI,micaO,2015-04-25 14:00:00,32:30,INTZ,Beşiktaş Esports,1,0,INTZ,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1707,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1708,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1709,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1710,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
1711,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
1712,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
1713,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
1714,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1715,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1716,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1717,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
1718,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
1719,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
1720,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
1721,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1722,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1723,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1724,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
1725,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
1726,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
1727,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
1728,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1729,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1730,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1731,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
1732,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
1733,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
1734,IWCI 2015,2015 IWCI,micaO,2015-04-25 15:00:00,53:40,Beşiktaş Esports,INTZ,1,1,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
1735,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1736,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1737,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1738,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1739,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1740,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1741,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1742,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Thominhas,,,,Brazil,ITZ
1743,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1744,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1745,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1746,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1747,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1748,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1749,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1750,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1751,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1752,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Thominhas,,,,Brazil,ITZ
1753,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1754,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1755,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1756,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1757,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1758,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1759,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1760,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1761,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1762,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Thominhas,,,,Brazil,ITZ
1763,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1764,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1765,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Aoshi,,Brazil,1993-07-09,Brazil,ITZ
1766,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Mortal,,Brazil,1991-06-05,Brazil,ITZ
1767,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Nia,,South Korea,2000-01-02,Brazil,ITZ
1768,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NinjaKiwi,,Brazil,2003-09-21,Brazil,ITZ
1769,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,NOsFerus,,Brazil,1999-09-14,Brazil,ITZ
1770,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,sNk,,Brazil,1995-10-20,Brazil,ITZ
1771,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Strazzi,,Brazil,,Brazil,ITZ
1772,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Thominhas,,,,Brazil,ITZ
1773,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Yampi,,Brazil,1998-11-07,Brazil,ITZ
1774,IWCI 2015,2015 IWCI,micaO,2015-04-25 16:00:00,53:47,INTZ,Beşiktaş Esports,1,2,Beşiktaş Esports,INTZ,Zzk,,South Korea,2001-02-18,Brazil,ITZ
1775,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1776,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1777,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1778,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
1779,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Lykia,,Turkey,,EMEA,BJK
1780,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,NuQ,,Turkey,2003-05-12,EMEA,BJK
1781,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Zetsu,,Turkey,,EMEA,BJK
1782,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Absolute,,Turkey,1999-08-24,EMEA,BJK
1783,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,ANDARIEL,,Turkey,,EMEA,BJK
1784,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,Kireas,Turkey,Denmark,,EMEA,BJK
1785,IWCI 2015,2015 IWCI,micaO,2015-04-25 17:00:00,36:54,Beşiktaş Esports,INTZ,3,1,Beşiktaş Esports,Beşiktaş Esports,KSAEZ,,Turkey,,EMEA,BJK
